source,attack,target,asr,fooling_rate,same_mistake_rate
ResNet,PGD,VGG,89.89830508474576,85.73138616231745,30.944078522536486
ResNet,CW,VGG,90.23728813559322,90.52505966587113,80.03349220662115
ResNet,AutoAttack,VGG,90.32768361581921,86.06596558317399,33.09723116548616
ResNet,DeepFool,VGG,90.16949152542372,90.90149253731343,84.5449858210879
ResNet,OnePixel,VGG,90.18079096045197,91.39682160353686,87.24062379172574
ResNet,FGSM,VGG_AA,89.83263121940112,84.41310064546975,28.355682853795077
ResNet,PGD,VGG_AA,89.86678811340089,84.61814699545128,22.571837212326095
ResNet,CW,VGG_AA,90.09450074006604,89.98806682577566,80.48051948051948
ResNet,AutoAttack,VGG_AA,89.84401685073438,85.18164435946463,31.18979432439469
ResNet,DeepFool,VGG_AA,90.08311510873278,90.19701492537314,84.17565285176043
ResNet,OnePixel,VGG_AA,90.1286576340658,90.7157366471502,86.81818181818181
ResNet,FGSM,VGG_CW,89.9774011299435,86.40927563949319,41.92839601912886
ResNet,PGD,VGG_CW,90.0225988700565,85.59971271247306,30.22715539494063
ResNet,CW,VGG_CW,90.16949152542372,90.42959427207637,80.15227771325333
ResNet,AutoAttack,VGG_CW,90.37288135593221,85.94646271510516,32.99008881451924
ResNet,DeepFool,VGG_CW,90.22598870056497,90.79402985074627,84.30689877498388
ResNet,OnePixel,VGG_CW,90.22598870056497,91.24148643804517,87.11798839458415
ResNet,FGSM,ResNet,90.00537923614847,100.0,100.0
ResNet,PGD,ResNet,89.87627756858527,100.0,100.0
ResNet,CW,ResNet,90.15599784830555,100.0,100.0
ResNet,AutoAttack,ResNet,90.02689618074234,100.0,100.0
ResNet,DeepFool,ResNet,90.10220548682088,100.0,100.0
ResNet,OnePixel,ResNet,90.03765465303927,100.0,100.0
ResNet,FGSM,ResNet_AA,90.2417868372547,89.09873296677026,36.28691983122363
ResNet,PGD,ResNet_AA,90.14420470562723,88.72396456787168,28.464977645305513
ResNet,CW,ResNet_AA,90.28515667353356,94.71360381861575,85.39005333002605
ResNet,AutoAttack,ResNet_AA,89.77556109725685,89.99760994263862,44.30032427039162
ResNet,DeepFool,ResNet_AA,90.13336224655752,94.63880597014925,87.73760715616847
ResNet,OnePixel,ResNet_AA,90.14420470562723,95.23240530529334,91.21739130434783
ResNet,FGSM,ResNet_CW,89.95581420411682,91.71647143198662,55.34676721473606
ResNet,PGD,ResNet_CW,89.84804397025542,93.10509935360307,65.30081703391929
ResNet,CW,ResNet_CW,89.95581420411682,94.92840095465394,86.14756127754394
ResNet,AutoAttack,ResNet_CW,90.13902360168122,93.52294455066922,68.28335184499568
ResNet,DeepFool,ResNet_CW,90.07436146136438,95.1044776119403,88.15529179030662
ResNet,OnePixel,ResNet_CW,89.9773682508891,95.6147687895806,91.39851485148515
