model_type,attack,SSIM
VGG,FGSM,0.9992583413009288
VGG,PGD,0.9993195096860006
VGG,CW,0.9995514649801948
VGG,AutoAttack,0.9994545510466171
VGG,DeepFool,0.9995813567016896
VGG,OnePixel,0.99958577132952
ResNet,FGSM,0.999250789536432
ResNet,PGD,0.9993503227995817
ResNet,CW,0.9995230315774652
ResNet,AutoAttack,0.9994198347515454
ResNet,DeepFool,0.9995517863720043
ResNet,OnePixel,0.9995847937692577
