source,attack,target,asr,fooling_rate,same_mistake_rate
VGG,FGSM,VGG,78.86353366470854,100.0,100.0
VGG,PGD,VGG,97.8197017623136,100.0,100.0
VGG,CW,VGG,5.693628558517849,100.0,100.0
VGG,AutoAttack,VGG,44.19340262087664,100.0,100.0
VGG,DeepFool,VGG,1.84139177586986,100.0,100.0
VGG,OnePixel,VGG,2.9597830998644374,100.0,100.0
VGG,FGSM,VGG_AA,44.431792302436804,47.08494485030798,46.7439293598234
VGG,PGD,VGG_AA,57.378729218856755,54.65989144242984,85.70825416930546
VGG,CW,VGG_AA,2.3684809838305627,22.023809523809526,50.54945054945055
VGG,AutoAttack,VGG_AA,21.13413800956502,45.50102249488753,82.42865137101288
VGG,DeepFool,VGG_AA,0.808471874288317,11.042944785276074,26.31578947368421
VGG,OnePixel,VGG_AA,1.890230015941699,15.648854961832061,26.717557251908396
VGG,FGSM,VGG_CW,71.02497457339813,81.00558659217877,66.11639152909788
VGG,PGD,VGG_CW,91.66007458469883,89.55999538052893,92.9086229086229
VGG,CW,VGG_CW,4.068256300146909,44.44444444444444,61.51419558359621
VGG,AutoAttack,VGG_CW,40.55825517007572,88.82924335378323,92.16642754662841
VGG,DeepFool,VGG_CW,1.4125889931065656,25.766871165644172,39.795918367346935
VGG,OnePixel,VGG_CW,2.7460730025991635,23.66412213740458,25.414364640883978
VGG,FGSM,ResNet,70.42495965572888,78.19796590746311,50.65998329156224
VGG,PGD,ResNet,79.93544916621839,78.39242406744428,83.5463493462612
VGG,CW,ResNet,1.893491124260355,14.484126984126984,37.06293706293706
VGG,AutoAttack,ResNet,33.29747175901022,74.61656441717791,84.31305536568695
VGG,DeepFool,ResNet,0.47337278106508873,5.521472392638037,22.580645161290324
VGG,OnePixel,ResNet,1.2910166756320602,6.488549618320611,16.666666666666668
VGG,FGSM,ResNet_AA,31.085330152878672,30.78355536456095,31.80890159248673
VGG,PGD,ResNet_AA,18.356283205030902,15.844785772029102,43.16860465116279
VGG,CW,ResNet_AA,1.4745744334815136,10.317460317460318,34.61538461538461
VGG,AutoAttack,ResNet_AA,3.599696411146048,7.080777096114519,42.65232974910394
VGG,DeepFool,ResNet_AA,0.6071777079041527,4.294478527607362,12.820512820512821
VGG,OnePixel,ResNet_AA,1.4095196790632116,4.961832061068702,11.39240506329114
VGG,FGSM,ResNet_CW,60.06035133096239,65.62097120756339,44.253214638971315
VGG,PGD,ResNet_CW,63.59521500161655,61.323478461716135,75.77523021988348
VGG,CW,ResNet_CW,1.282465782950749,8.333333333333334,29.67032967032967
VGG,AutoAttack,ResNet_CW,23.849552753529476,52.83742331288344,76.16754935002407
VGG,DeepFool,ResNet_CW,0.5388511693070374,6.134969325153374,9.75609756097561
